key,code,execution,type,corrective-actions,optional-link,draft-mode,key:project,key:auditor
# Datos para code
code-audit-01,AAA-001,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-02,AA-002,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-03,A-003,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-03.1,ZZZ-999,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-03.2,Z-999,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
# Datos para execution
code-audit-04,AAA-004,2000/01/01 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-05,AAA-005,2000/01/01 00:01,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-05.1,AAA-105,2020/02/29 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-05.2,AAA-205,2022/07/30 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-05.3,AAA-305,2022/07/29 23:59,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
# Datos de type
code-audit-06,AAA-006,2000/09/12 00:00,STATIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-07,AAA-007,2000/09/12 00:00,DYNAMIC,Lorem ipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
# Datos de corrective-actions
code-audit-08,AAA-008,2000/09/12 00:00,STATIC,L,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-09,AAA-009,2000/09/12 00:00,STATIC,Lo,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-10,AAA-010,2000/09/12 00:00,STATIC,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsum,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-11,AAA-011,2000/09/12 00:00,STATIC,LoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsumLoremipsu,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-12,AAA-012,2000/09/12 00:00,STATIC,æ¨£æœ¬æ¨™é¡Œ,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-02
code-audit-13,AAA-013,2000/09/12 00:00,STATIC,貸んい建濯よ芝弾テソ,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-02
code-audit-14,AAA-014,2000/09/12 00:00,STATIC,<p>This text is in HTML</p>,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-02
code-audit-15,AAA-015,2000/09/12 00:00,STATIC,<script>alert('Hi')</script>,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-02
code-audit-16,AAA-016,2000/09/12 00:00,STATIC,' or 'A'='A',https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-17,AAA-017,2000/09/12 00:00,STATIC,SELECT c FROM Contract OR 1=1,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-18,AAA-018,2000/09/12 00:00,STATIC,<h1>!</h1>,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-19,AAA-019,2000/09/12 00:00,STATIC,국민경제의 발전을,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
code-audit-20,AAA-020,2000/09/12 00:00,STATIC,العظمى واعتلاء,https://es.wikipedia.org/wiki/Curso,true,project-01,auditor-01
# Datos para optional-link
code-audit-21,AAA-019,2000/09/12 00:00,STATIC,Lorem ipsum,,true,project-01,auditor-01
code-audit-21.1,AAA-119,2000/09/12 00:00,STATIC,Lorem ipsum,ftp://www.example.com/myProfile,true,project-01,auditor-01
code-audit-21.2,AAA-219,2000/09/12 00:00,STATIC,Lorem ipsum,https://www.example.com?ejemplo=ejemplo&id=4,true,project-01,auditor-01
code-audit-21.3,AAA-319,2000/09/12 00:00,STATIC,Lorem ipsum,https://www.example.com?,true,project-01,auditor-01
